Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
disPhiPie-R-G3I-Tree/60,7.230660254614547e-2,7.220946604928295e-2,7.255608295261315e-2,3.2740995493713617e-4,1.504875580453239e-4,5.823910865307827e-4
disPhiPie-R-G3I-Tree/70,0.11552540737471877,0.11527171223551703,0.11614776155657881,6.885255816832046e-4,2.802665126470793e-4,1.1864053987854374e-3
disPhiPie-R-G3I-Tree/80,0.17641871426557965,0.17455143255842684,0.17853350889343433,3.3927730050466315e-3,2.438503445046288e-3,4.840985871758662e-3
disPhiPie-R-G3I-Tree/90,0.24834779872601845,0.2478036855617726,0.24897030752429256,9.111068649965319e-4,6.105586200893648e-4,1.4405542099355842e-3
disPhiPie-R-G3I-Tree/100,0.34216385415264605,0.34161429166186796,0.34326578773782657,1.1168159349716276e-3,3.9104405504519746e-4,1.6329670574744114e-3
disPhiPie-R-G3C-Zip/10,2.3608252254855874e-5,2.3544643298498333e-5,2.3697504675299157e-5,2.919181620785386e-7,1.940067549651376e-7,3.774261444220314e-7
disPhiPie-R-G3C-Zip/20,5.644371294699251e-5,5.6359521706044915e-5,5.657792858961695e-5,4.15867777272952e-7,2.68694608036508e-7,6.170544721231718e-7
disPhiPie-R-G3C-Zip/30,1.0358924721200105e-4,1.0346145008356406e-4,1.0398209802215195e-4,7.517728679068005e-7,3.284234270648095e-7,1.4732043261907723e-6
disPhiPie-R-G3C-Zip/40,1.65163261576266e-4,1.6494634661796926e-4,1.6550997490536967e-4,1.0266540432075761e-6,6.472981746319876e-7,1.8708391123443595e-6
disPhiPie-R-G3C-Zip/50,2.410868443589498e-4,2.406579267358121e-4,2.4171155524533517e-4,2.001511462758218e-6,1.4031168378505587e-6,2.8464892973238684e-6
disPhiPie-R-G3C-Zip/60,3.372130801448174e-4,3.3447569243536906e-4,3.3984057439038004e-4,1.0320516869483528e-5,8.003657897342615e-6,1.2109368521746209e-5
disPhiPie-R-G3C-Zip/70,4.347241648703405e-4,4.341893006784016e-4,4.3584908184290244e-4,2.8820965161921773e-6,1.9290932046845197e-6,4.741762837922069e-6
disPhiPie-R-G3C-Zip/80,5.551280986730542e-4,5.53779576281011e-4,5.576429500427233e-4,6.814193948346829e-6,4.66042894509019e-6,1.0315072436880637e-5
disPhiPie-R-G3C-Zip/90,6.866636749154949e-4,6.847904497600462e-4,6.889180054742792e-4,8.03308466266388e-6,5.936586738024242e-6,9.83828794785761e-6
