Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
conBot-R-IPL-GenZ/80,5.383722801157908e-6,5.310123839740383e-6,5.525132214009517e-6,3.802767767247063e-7,2.1904705523590509e-7,6.138090409033644e-7
conBot-R-IPL-GenZ/90,5.866062048919703e-6,5.84667688047727e-6,5.89634103201186e-6,9.349091157271055e-8,7.105003632432149e-8,1.3659250179144165e-7
conBot-R-IPL-GenZ/100,6.4989716179227355e-6,6.469402789232091e-6,6.5330073038449966e-6,1.2606351695438148e-7,1.0578202880459056e-7,1.4544634999808765e-7
conBot-R-CPL-GenT/10,6.224943792259782e-6,6.208101702341767e-6,6.245782079082836e-6,6.743198474654979e-8,5.404998220661506e-8,8.749718767933223e-8
conBot-R-CPL-GenT/20,1.4079105736108646e-5,1.4041787454755666e-5,1.4162204731814747e-5,2.0597993254780333e-7,1.289855754703617e-7,3.329678688348925e-7
conBot-R-CPL-GenT/30,2.411873981816635e-5,2.3964722601773146e-5,2.469150947219865e-5,9.634387356375492e-7,3.571592450141065e-7,2.1010512800792077e-6
conBot-R-CPL-GenT/40,3.5533839918089974e-5,3.546429025813511e-5,3.562427789821109e-5,3.1164619038154516e-7,2.3730206412377823e-7,4.0231719394386385e-7
conBot-R-CPL-GenT/50,4.909292432077167e-5,4.897982940952814e-5,4.925780551396504e-5,5.365971050557241e-7,3.8941097067259224e-7,7.257026549531649e-7
conBot-R-CPL-GenT/60,6.630075355927218e-5,6.587631830211588e-5,6.678169775808759e-5,1.8341997806694618e-6,1.5943588130511823e-6,2.1731428950594446e-6
conBot-R-CPL-GenT/70,8.446824510961227e-5,8.391621566760206e-5,8.510291028079552e-5,2.398657690900911e-6,2.0043334476868255e-6,2.938729915296507e-6
conBot-R-CPL-GenT/80,1.0083062736875358e-4,1.0027400426825836e-4,1.026270301416264e-4,3.3455918361967063e-6,1.1792011813382597e-6,6.680046584008408e-6
conBot-R-CPL-GenT/90,1.2146312302174062e-4,1.2123286831849787e-4,1.2181490665468085e-4,1.1497895960569157e-6,8.437244088727818e-7,1.5650653155507757e-6
conBot-R-CPL-GenT/100,1.4405839964650715e-4,1.4370463151558473e-4,1.4488736098916923e-4,2.011903519634242e-6,1.1796862491619147e-6,3.759110988832905e-6
conBot-R-IPL-GenT/10,6.714044569607465e-5,6.706167064151362e-5,6.729705400156567e-5,4.017334995249466e-7,1.8165956698532647e-7,6.706942814823379e-7
conBot-R-IPL-GenT/20,3.865634303915117e-4,3.854615827995703e-4,3.8814710098664313e-4,5.087923420301619e-6,3.964779807184671e-6,6.360152346311752e-6
